trial_id,seed,tc,sigma_px,dropout_prob,camera_mode,dv_perfect_mag,dv_ekf_mag,dv_delta_mag,dv_mag_bias,dv_inflation_pct,miss_uncorrected,miss_perfect,miss_ekf,pos_err_tc,tracePpos_tc,nis_mean,nees_mean,valid_rate,dx0_norm_r,dx0_norm_v,notes,truth_mode
0,1787714007,2.0,1.0,0.0,estimate_tracking,0.003725597689346903,0.004506519527783798,0.0010907196611304655,0.000780921838436895,0.20960981392861844,0.002447901333577029,7.327559574306205e-11,0.00010139404572456949,5.9268524067684433e-05,3.332133999342098e-09,2.0510187317927926,7.502395880454056,0.9900990099009901,0.00032295465584165076,6.223272162278007e-05,,cr3bp
1,587967793,2.0,1.0,0.0,estimate_tracking,0.0025774108990315827,0.002488469193830883,9.751219019875491e-05,-8.894170520069985e-05,-0.03450815903436977,0.0020922370896913766,6.1625745154394e-11,0.0003353979416442353,7.546505779215025e-05,3.5451394484263566e-09,1.6854726243365554,17.225657649992403,0.9900990099009901,0.00019186487394059283,0.00014926052750501316,,cr3bp
2,124647997,2.0,1.0,0.0,estimate_tracking,0.0006898757992180357,0.000766727782506163,0.00030202403580730853,7.685198328812731e-05,0.11139973800391023,0.0004780263884110462,4.311503258340914e-11,2.814940577826291e-05,5.3393804912509524e-05,2.383143545912678e-09,1.8317949637415836,2.9593068585651032,0.9900990099009901,0.00010080623365033962,0.00010723129564498597,,cr3bp
3,1006183897,2.0,1.0,0.0,estimate_tracking,0.0008829257584456081,0.000644899619556824,0.00027169420629877245,-0.00023802613888878406,-0.2695879428275254,0.00017025177879193047,6.217832294910988e-11,0.0002886650676884113,5.505890056442997e-05,1.9876389806735405e-09,1.9574954376649487,7.4861722090801415,0.9900990099009901,0.00011099258435142038,0.0001324075179850131,,cr3bp
4,833217825,2.0,1.0,0.0,estimate_tracking,0.0016659606725517588,0.0015972410135857988,0.0002175911861251904,-6.871965896596e-05,-0.041249268424026986,0.0009497599192281229,2.7792111764494826e-11,6.338596205310967e-05,4.5760665971608646e-05,2.550358059429928e-09,2.3502540325690404,4.0755916826494705,0.9900990099009901,0.00023624860186159688,7.759280778912564e-05,,cr3bp
5,583918653,2.0,1.0,0.0,estimate_tracking,0.0009809884603892984,0.0008938533512962258,0.00011970932640915192,-8.713510909307259e-05,-0.08882378601935192,0.00024510917219401694,5.405966255905543e-11,0.00023929850980741046,6.972452537106008e-05,1.9818579529471033e-09,1.9489767386833603,6.170792574596009,0.9900990099009901,0.00010164230207778267,0.0002607567423815715,,cr3bp
6,2073595670,2.0,1.0,0.0,estimate_tracking,0.0016924025922893003,0.002185794134876471,0.0005213310054378404,0.0004933915425871709,0.2915331995088497,0.000797951066974674,4.8868898927563535e-11,8.436195049137941e-05,3.848767441825146e-05,2.0734903284400685e-09,1.8847570813043426,7.66018878439918,0.9900990099009901,0.00029971010829583325,9.865657723685426e-05,,cr3bp
7,456488550,2.0,1.0,0.0,estimate_tracking,0.0010027952555070588,0.001226083900715411,0.00022740048734607167,0.00022328864520835233,0.22266623618541903,0.0003399802404558475,4.972500064412458e-11,0.0005882454164288316,0.00012274914462082295,2.1658151820862532e-09,2.0521998912229438,13.044300968807349,0.9900990099009901,0.00015615310265537492,6.963576292879496e-05,,cr3bp
8,362043431,2.0,1.0,0.0,estimate_tracking,0.00088906462045305,0.0009846638020553366,0.0002459030364244802,9.559918160228663e-05,0.10752782126632265,0.0006608812947383426,4.787222080685686e-11,0.00020958896141465554,4.5255465011552884e-05,2.961523135230205e-09,2.2604007805419957,16.531108001568462,0.9900990099009901,8.95343435311567e-05,6.364684356678489e-05,,cr3bp
9,1985178879,2.0,1.0,0.0,estimate_tracking,0.002683200997425101,0.0027228788211668613,0.00010697348213683663,3.967782374176025e-05,0.014787495897562897,0.002567243268416502,8.941973396770179e-11,0.0008406812258572962,0.0001501083749966207,5.373646743519268e-09,1.6323148441408708,10.901458303108296,0.9900990099009901,0.0002581786126351118,0.00022386778970171625,,cr3bp
10,1697341830,2.0,1.0,0.0,estimate_tracking,0.0028617919188668613,0.0027538557634615205,0.0002712772494149118,-0.00010793615540534082,-0.037716283526329386,0.0026617052020546745,5.498686381957516e-11,2.5006649064859294e-05,2.3495581686826007e-05,2.2920771914907845e-09,1.9699602169288404,2.4554065718479943,0.9900990099009901,0.00017764527061601642,0.00010483345244044702,,cr3bp
11,660423988,2.0,1.0,0.0,estimate_tracking,0.0007519807072587728,0.000731746493230643,0.0007361519986962778,-2.0234214028129797e-05,-0.02690788983389003,0.0005212020210980495,4.9526731883045505e-11,0.00012482406588677314,3.925037125718073e-05,2.9448499924566983e-09,2.1290228236339788,7.323637162045329,0.9900990099009901,7.137499070704934e-05,0.00019744512078169986,,cr3bp
12,276817226,2.0,1.0,0.0,estimate_tracking,0.0007043048268983074,0.0010315670295333252,0.0006181847080967342,0.00032726220263501775,0.4646598889237348,0.0005183644751627629,6.570442046604679e-11,0.0002439007639048403,0.00010706153369754385,5.249639903431167e-09,2.2247201309581492,24.44755863902344,0.9900990099009901,9.356486822341973e-05,0.00022914665384730147,,cr3bp
13,1989480244,2.0,1.0,0.0,estimate_tracking,0.0001443165144492471,0.0007795737185208708,0.0008496222707803408,0.0006352572040716237,4.401833057678437,0.0004083097736795005,7.08379926614376e-11,0.0003104583776132668,0.00011307190915305815,3.231230224269597e-09,1.9298025993094783,6.235226952838064,0.9900990099009901,1.3547572873247869e-05,0.00014937605218461427,,cr3bp
14,611951141,2.0,1.0,0.0,estimate_tracking,0.0010530146435561794,0.001104062772978493,8.26800753299622e-05,5.1048129422313513e-05,0.0484780812258383,0.0005018937124226503,6.612099910172948e-11,0.00047771496603936803,5.751351870950068e-05,4.0108459037394685e-09,1.5661650088596242,4.798015148646132,0.9900990099009901,0.0002235932358398389,0.00024392790979704777,,cr3bp
15,1684743891,2.0,1.0,0.0,estimate_tracking,0.0008275432910273113,0.0009538564689665053,0.00017319263872857892,0.00012631317793919395,0.15263633855624503,0.0003944778706570682,6.599048142764819e-11,0.00030039626837730744,6.400692906827314e-05,2.8592132458492795e-09,1.9434245541432589,10.678985419080123,0.9900990099009901,0.00015910450302171315,0.00019537728802421976,,cr3bp
16,2117640668,2.0,1.0,0.0,estimate_tracking,0.0007524376782946108,0.0007843321227987812,0.0001858847794796436,3.189444450417043e-05,0.04238815442690047,0.00045462803084318006,3.094424174057731e-11,0.001533855100957657,0.00027437466052040343,8.967108780823207e-09,2.1790348843176717,170.10297689460825,0.9900990099009901,0.00020430235593157318,0.00017877426189474543,,cr3bp
17,544124226,2.0,1.0,0.0,estimate_tracking,0.0016828101274212078,0.001781692508217004,0.00015996518801370265,9.888238079579616e-05,0.05876027199059397,0.001193169149913836,2.7066145535168415e-11,0.00014136063164734965,4.106847072829264e-05,2.3309647761998894e-09,2.022676119645805,4.146074607011939,0.9900990099009901,0.0001899329173931791,0.00017140271043557736,,cr3bp
18,351058637,2.0,1.0,0.0,estimate_tracking,0.003004386900340321,0.0031843327309846866,0.0005199837373210836,0.00017994583064436572,0.0598943600186721,0.003202317240300837,6.02499999667634e-11,0.0002256359058367214,4.7411444086239045e-05,2.9659510552044624e-09,1.873337207321096,3.745200430996251,0.9900990099009901,0.0002057609711753004,0.0001753000736618948,,cr3bp
19,630530276,2.0,1.0,0.0,estimate_tracking,0.0023436719351255532,0.0023148200225543937,9.38000588108507e-05,-2.8851912571159575e-05,-0.012310559399864918,0.0021638008665981296,6.4168720355353e-11,7.994376274693928e-05,8.82573408999459e-06,2.3408057341566786e-09,2.2178991634666474,1.6117871000171449,0.9900990099009901,0.0001892982301516154,6.968584882444432e-05,,cr3bp
20,1524651340,2.0,1.0,0.0,estimate_tracking,0.0027173137909715706,0.0030418607712547445,0.0008972641561335408,0.00032454698028317385,0.11943669566669102,0.0023866942596243545,6.145681367927904e-11,0.0003161677275166542,0.00010213007915239246,5.936184182453804e-09,1.8872740122468246,38.984440009215284,0.9900990099009901,0.00015784268457262005,0.0002457758031234072,,cr3bp
21,1441210404,2.0,1.0,0.0,estimate_tracking,0.0004588875819311665,0.0006371317333530314,0.00019630356523197157,0.00017824415142186488,0.3884266178477709,0.0003683566497857576,4.895409145032037e-11,0.00029775376606973986,3.118076426590722e-05,3.745315112343247e-09,2.259835290879791,6.556002928327308,0.9900990099009901,0.00012235811964487304,8.447600912453752e-05,,cr3bp
22,1512598245,2.0,1.0,0.0,estimate_tracking,0.0009105258089498153,0.0012181815566910438,0.0003105071429564617,0.0003076557477412285,0.3378880035219136,0.00012435966219942436,5.796153486819712e-11,4.572350068229586e-05,1.7731794432656934e-05,2.36461052823264e-09,1.919766137100757,6.338031883614633,0.9900990099009901,7.453159508403918e-05,0.00018205834689476562,,cr3bp
23,1859884403,2.0,1.0,0.0,estimate_tracking,0.0013818592066446053,0.0012426508559686242,0.00027599031476902556,-0.00013920835067598113,-0.10073989448896403,0.001320875075959031,7.289428100137114e-11,9.470110714742315e-05,3.3412311519036896e-05,2.0046436681476413e-09,2.372869812770966,3.5659923764093757,0.9900990099009901,0.00015857490042395388,0.00012299541642730652,,cr3bp
24,650306900,2.0,1.0,0.0,estimate_tracking,0.002083308921430285,0.0014322175895110322,0.000925658500964431,-0.0006510913319192526,-0.31252750142895236,0.0013682807284753095,5.928783486007888e-11,0.00011409575020201235,7.576733551642331e-05,2.3404430406094424e-09,2.1369446678905906,6.791076766452752,0.9900990099009901,0.00023116997804846045,0.00015992134354497983,,cr3bp
25,233462635,2.0,1.0,0.0,estimate_tracking,0.0017629686123770277,0.001781012419472901,3.1304327147797815e-05,1.8043807095873346e-05,0.010234899798666763,0.0009334264276038191,2.3869379489533084e-11,0.0002663285608381122,2.272639215940535e-05,3.617164166298787e-09,2.0236378766834524,6.378691270530359,0.9900990099009901,0.00018599870481118147,0.0001282020402081655,,cr3bp
26,1866223346,2.0,1.0,0.0,estimate_tracking,0.0027216227113684385,0.0027761795616957365,0.0005222304833677456,5.455685032729803e-05,0.020045706592397794,0.00250724305938017,7.899095999263189e-11,0.0003818390995049619,7.713545544345606e-05,5.056558369918646e-09,2.049860431040824,14.882578939427422,0.9900990099009901,0.00010776176605522952,0.0002117221605731303,,cr3bp
27,1853631324,2.0,1.0,0.0,estimate_tracking,0.0015620549887400807,0.0015552077320370012,0.00011990619678112411,-6.8472567030795125e-06,-0.004383492740292261,0.0011789086718526432,4.490286495498819e-11,0.00034147511896298903,2.929192813973606e-05,3.228346997962706e-09,1.9361819641010403,6.445658618872929,0.9900990099009901,9.489347245655135e-05,0.00010277508827513317,,cr3bp
28,391378277,2.0,1.0,0.0,estimate_tracking,0.001061952893424849,0.0012742768041601644,0.0006978443351819965,0.00021232391073531544,0.1999372213682291,0.0009034277407505578,1.4302222279746481e-11,0.00012460551550453903,8.176617003590532e-05,3.76417893296633e-09,1.7056447787074958,4.221183228422577,0.9900990099009901,0.00010154121384683282,0.0001040097132201223,,cr3bp
29,428305408,2.0,1.0,0.0,estimate_tracking,0.0004133717768676336,0.0005532136185985002,0.0002163994856155279,0.00013984184173086663,0.33829557206477023,0.00029411929476758514,6.205446072379103e-11,8.359674795697515e-05,0.00010864015355348764,2.1432565773874625e-09,1.9379385803938327,7.769288830856144,0.9900990099009901,0.00012412937544364948,9.250558360012651e-05,,cr3bp
30,26400416,2.0,1.0,0.0,estimate_tracking,0.002695965608137768,0.0027077323735577303,6.156587801997568e-05,1.1766765419962515e-05,0.004364582910273196,0.002258244661283883,5.084411935118775e-11,0.0001837838812925163,2.418622449629346e-05,3.129126496389055e-09,1.694861594225488,1.8965474263180162,0.9900990099009901,0.00020180525601626848,0.0002029603111508745,,cr3bp
31,1220740601,2.0,1.0,0.0,estimate_tracking,0.000272101042348981,0.00037881683705289854,0.00011381879021031698,0.00010671579470391754,0.3921917894274365,0.00020099870682937498,6.051893578613709e-11,0.00018138630044360856,5.996594951892523e-05,3.838578395459476e-09,1.700603704583953,21.30538189583682,0.9900990099009901,7.36907926779904e-05,0.00025390222644791074,,cr3bp
32,1065099807,2.0,1.0,0.0,estimate_tracking,0.001420022835494781,0.001613531974693082,0.0002325208440211817,0.00019350913919830102,0.1362718502557576,0.0010302376151234338,3.6137053662751203e-11,5.2489718119222356e-05,1.8225662419468944e-05,2.0716497871285886e-09,2.1524756602790904,5.5086834174779895,0.9900990099009901,9.920977770637246e-05,0.000152761700332351,,cr3bp
33,1505960273,2.0,1.0,0.0,estimate_tracking,0.0023527535933562426,0.0024190246047630414,9.592809410462686e-05,6.627101140679881e-05,0.028167425434578508,0.0022124629759418474,5.598768728754753e-11,6.492567460601736e-05,4.559430755151816e-06,2.1913729370030265e-09,1.9532851510770803,2.73439859423726,0.9900990099009901,0.00020579992716050855,0.00016157148970677042,,cr3bp
34,1216349365,2.0,1.0,0.0,estimate_tracking,0.0015820249377097736,0.0016275321148139345,0.0002811692278099375,4.550717710416095e-05,0.028765145238506484,0.0018126609950634474,4.928056878290603e-11,0.00022952150404224934,2.4575105441252366e-05,2.9241843517785192e-09,1.9272325103082084,4.1476077742411785,0.9900990099009901,0.0002061138390742176,0.0001375832348730965,,cr3bp
35,324181592,2.0,1.0,0.0,estimate_tracking,0.0011808009027067788,0.0008932971486401984,0.00039184369140469707,-0.0002875037540665804,-0.24348199040797525,0.0008531147086238862,5.5285545670368136e-11,0.0004627920733009096,5.695393111726696e-05,5.481166009912023e-09,1.7703137428817728,10.130809685080056,0.9900990099009901,0.00013364415536542022,0.0001314832477103322,,cr3bp
36,775260443,2.0,1.0,0.0,estimate_tracking,0.0037070239190293165,0.0037735562114026605,0.00025946908498733755,6.653229237334407e-05,0.017947629642153906,0.0032121618680749486,9.352653294220778e-11,0.00010503516178268993,2.901028569018928e-05,3.6518679712601546e-09,1.8530000176875663,2.2293415091604274,0.9900990099009901,0.00024730952533263094,0.0001239750813801524,,cr3bp
37,1367048009,2.0,1.0,0.0,estimate_tracking,0.0015091195693866925,0.0015717301621178356,0.0001382777868048852,6.261059273114308e-05,0.041488159057262886,0.0014425993304090642,4.36348415081405e-11,9.245051237743312e-05,2.207078706605469e-05,2.260634799026663e-09,1.9295276493641478,4.971906981705283,0.9900990099009901,0.00015375260196540697,0.00017206023630163454,,cr3bp
38,1578710316,2.0,1.0,0.0,estimate_tracking,0.0014494860321823198,0.0014519748137694023,0.0003393976676949807,2.488781587082524e-06,0.0017170097067686907,0.0008400531288935476,4.2285091862599194e-11,0.0008480967023385398,0.00017265903453127465,5.64640785982431e-09,2.039001944119783,22.349156409072492,0.9900990099009901,0.00015777345217884165,0.00021643306997172615,,cr3bp
