threshold_km,C1,C2,C3,C4
1.0000,0.000000,0.000000,0.000000,0.000000
1.0593,0.000000,0.000000,0.000000,0.000000
1.1220,0.000000,0.000000,0.000000,0.000000
1.1885,0.000000,0.000000,0.000000,0.000000
1.2589,0.000000,0.000000,0.000000,0.000000
1.3335,0.000000,0.000000,0.000000,0.000000
1.4125,0.000000,0.000000,0.000000,0.000000
1.4962,0.000000,0.000000,0.000000,0.000000
1.5849,0.000000,0.000000,0.001000,0.000000
1.6788,0.000000,0.000000,0.001000,0.000000
1.7783,0.000000,0.000000,0.001000,0.000000
1.8836,0.000000,0.000000,0.002000,0.000000
1.9953,0.000000,0.000000,0.002000,0.000000
2.1135,0.000000,0.000000,0.003000,0.000000
2.2387,0.000000,0.000000,0.004000,0.000000
2.3714,0.000000,0.000000,0.006000,0.000000
2.5119,0.000000,0.000000,0.008000,0.000000
2.6607,0.000000,0.000000,0.010000,0.000000
2.8184,0.000000,0.000000,0.012000,0.000000
2.9854,0.001000,0.000000,0.012000,0.000000
3.1623,0.002000,0.000000,0.014000,0.000000
3.3497,0.003000,0.000000,0.017000,0.000000
3.5481,0.003000,0.000000,0.020000,0.000000
3.7584,0.005000,0.000000,0.023000,0.000000
3.9811,0.005000,0.001000,0.028000,0.000000
4.2170,0.005000,0.002000,0.033000,0.000000
4.4668,0.005000,0.002000,0.040000,0.000000
4.7315,0.006000,0.002000,0.048000,0.000000
5.0119,0.009000,0.002000,0.055000,0.000000
5.3088,0.010000,0.002000,0.060000,0.000000
5.6234,0.010000,0.002000,0.064000,0.000000
5.9566,0.011000,0.003000,0.072000,0.000000
6.3096,0.011000,0.003000,0.090000,0.000000
6.6834,0.013000,0.004000,0.099000,0.000000
7.0795,0.014000,0.004000,0.108000,0.000000
7.4989,0.016000,0.006000,0.119000,0.001000
7.9433,0.019000,0.006000,0.130000,0.001000
8.4140,0.023000,0.007000,0.141000,0.001000
8.9125,0.026000,0.007000,0.151000,0.001000
9.4406,0.031000,0.007000,0.165000,0.001000
10.0000,0.033000,0.010000,0.185000,0.001000
10.5925,0.035000,0.011000,0.198000,0.001000
11.2202,0.039000,0.013000,0.217000,0.002000
11.8850,0.046000,0.015000,0.236000,0.002000
12.5893,0.051000,0.016000,0.254000,0.002000
13.3352,0.056000,0.020000,0.271000,0.003000
